City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,RoadWidth,RoadType
17,3500000,0,0,,0,4,,443,12.0,4
17,30000,2,1,,0,7,,457,11.0,6
17,2800000,0,0,,0,7,,599,20.0,1
17,3500000,0,0,,0,0,,195,30.0,1
17,1500000,0,0,,0,0,,475,58.0,2
5,1250000,0,0,,0,0,2003.0,222,20.0,5
17,1100000,0,0,,0,4,,248,10.0,6
17,8500000,0,0,,0,4,,126,13.0,6
17,2850000,0,0,,0,4,,111,10.0,6
17,1450000,0,0,,0,7,,110,20.0,6
17,2600000,0,0,,0,0,,211,15.0,1
17,3800000,0,0,,0,0,,142,30.0,1
17,3500000,0,0,,0,4,,103,30.0,1
17,1000000,0,0,,0,1,,247,26.0,6
17,3500000,0,0,,0,0,,89,32.0,6
17,4200000,0,0,,0,4,,73,15.0,6
17,6000000,0,0,,0,0,,72,35.0,1
17,20000,2,1,,1,7,,498,18.0,6
3,2100000,0,0,,0,4,,316,0.0,6
17,32000,2,2,5.0,0,7,,615,10.0,6
20,3500000,0,0,,0,6,,90,22.96588,3
17,75000,7,7,3.0,3,4,2070.0,252,13.0,1
17,30000,1,1,,1,0,,567,0.0,6
17,8500000,0,0,,0,0,,141,16.0,6
17,2450000,0,0,,0,2,,397,16.0,6
17,5700000,0,0,,0,0,,344,14.0,6
17,20000,0,1,,0,4,,158,0.0,6
17,7000000,0,0,,0,0,,58,25.0,6
17,65000,0,1,,0,4,,92,0.0,6
17,2500000,0,0,,0,4,,151,15.0,1
20,35000,0,0,5.0,2,0,2013.0,106,72.0,1
17,4000000,0,0,,0,2,,134,15.0,5
17,250000,6,7,3.0,6,5,2070.0,354,16.0,1
17,5700000,0,0,,0,0,,105,15.0,1
17,3000000,0,0,,0,6,,117,13.0,5
17,60000,0,2,4.5,5,1,2076.0,655,65.6168,1
17,5500000,0,0,,0,4,,101,0.0,6
17,7000000,0,0,,0,0,,50,29.52756,1
20,25000,2,2,3.0,1,7,2076.0,666,13.0,2
17,30000,0,0,2.0,4,0,,78,26.0,1
27,18000,1,1,,1,2,,480,14.0,1
3,550000,0,0,,0,4,,1400,10.0,3
20,115000,0,0,,0,2,,259,0.0,6
20,35000000,0,0,,0,2,,196,20.0,6
17,1900000,0,0,,0,5,,161,22.0,6
17,600000,5,4,,11,0,,226,0.0,6
17,3000000,0,0,,0,1,,158,0.0,6
7,180000000,0,0,,0,0,,109,30.0,5
17,23000000,3,3,,1,4,,395,20.0,6
17,80000,3,2,4.0,1,1,,1100,0.0,1
10,700000,0,0,,0,0,,142,25.0,1
20,35000,2,2,3.0,2,0,2074.0,301,10.0,5
17,290000,0,1,1.0,1,0,,127,12.0,4
17,150000,3,4,3.0,2,4,,173,0.0,6
17,11000000,0,0,,0,1,,197,32.0,6
17,55000,0,0,,0,1,,123,10.0,6
17,55000,0,0,,0,7,,207,12.0,6
17,11000000,0,0,,0,4,,85,40.0,6
7,20000,0,0,,0,4,,159,19.68504,1
17,20000,1,1,,1,0,,390,0.0,6
20,3500000,0,0,,0,0,,368,19.68504,6
20,16500000,3,2,5.0,1,0,2058.0,975,40.0,1
20,60000,4,3,,2,0,,454,0.0,6
3,70000,4,3,,2,0,,407,0.0,6
20,120000,5,4,,4,0,,166,0.0,6
17,10000000,0,0,,0,0,,330,35.0,1
17,3500000,0,0,,0,0,,130,14.0,3
17,2400000,0,0,,0,5,,115,16.0,1
3,2200000,0,0,,0,0,,72,13.0,6
17,275000,0,0,2.0,0,0,,121,0.0,6
20,3000000,0,0,,0,0,,1100,13.0,1
17,70000,0,0,4.0,1,0,2076.0,1000,25.0,1
17,3500000,0,0,,0,6,,98,16.0,6
17,760000,0,0,,0,3,,81,0.0,6
17,7000000,0,0,,0,5,,94,26.0,6
17,2500000,0,0,,0,6,,74,14.0,6
17,6000000,0,0,,0,1,,75,32.0,6
17,24500000,0,3,2.0,1,0,2074.0,206,16.0,3
17,2850000,0,0,,0,7,,295,13.0,6
17,2500000,0,0,,0,5,,311,14.0,6
17,40000,0,0,,0,7,,352,20.0,5
27,30000,3,2,2.0,3,0,2010.0,154,14.0,1
17,2600000,0,0,,0,1,,307,14.0,6
17,17000000,5,3,3.0,1,7,,248,14.0,6
27,15000,2,1,,1,0,,439,13.0,4
17,2850000,0,0,,0,5,,303,12.0,6
17,4000000,0,0,,0,5,,245,20.0,6
29,250000,0,0,,0,0,,169,20.0,3
17,15000000,0,0,,1,0,,1200,20.0,1
29,235000,0,0,,0,0,,143,16.0,3
17,40000,4,3,3.0,1,5,2020.0,439,22.0,3
17,5500000,0,0,,0,5,,73,36.0,6
17,200000,6,4,,2,0,,151,0.0,6
17,1150000,0,0,,0,0,,565,11.0,3
17,30000,6,2,3.0,2,0,2014.0,192,14.0,1
17,40000,3,2,,1,0,,78,0.0,6
17,200000,5,4,,4,0,,323,0.0,6
22,300000,0,0,,0,3,,191,14.0,3
17,4200000,0,0,,0,0,,103,36.08924,1
20,3500000,0,0,,0,0,,124,0.0,6
20,11900000,2,1,,0,1,,469,30.0,6
17,28500000,6,6,,1,5,,103,20.0,6
20,21500000,0,0,,1,6,,100,13.0,3
17,20000,2,1,,0,7,,529,0.0,6
17,3000000,0,0,,0,0,,135,13.0,5
20,12500000,3,1,2.0,1,7,,214,16.0,1
17,32500000,11,0,,1,0,,453,20.0,1
20,22000000,5,3,2.5,1,3,2076.0,1700,10.0,3
25,11000000,3,4,,1,0,2018.0,247,15.0,1
17,17000000,0,2,3.0,1,4,2017.0,151,20.0,1
3,3000000,0,0,,0,7,,1500,13.0,1
20,11000000,2,1,1.5,2,7,2076.0,1600,13.0,3
20,900000,0,0,,0,0,,1100,10.0,6
17,15000000,0,0,,0,0,,251,45.0,1
20,13000000,4,2,1.5,1,2,2076.0,786,13.0,3
17,42500000,28,0,5.0,0,0,,460,29.0,6
17,1300000,0,0,,0,1,,516,20.0,1
19,1800000,0,0,,0,0,,503,12.0,1
20,300000,8,5,,7,0,,192,0.0,6
17,10500000,0,0,,0,0,,198,0.0,6
17,50000000,3,3,3.0,2,4,2070.0,1600,20.0,1
7,10500000,4,2,3.0,1,4,2009.0,461,13.0,1
17,30000000,6,5,3.0,2,1,2019.0,434,14.0,3
20,31500000,4,4,3.0,1,4,2012.0,290,12.0,4
20,18000000,3,3,3.0,1,5,,704,18.0,6
7,50000000,0,0,0.0,0,0,,305,20.0,5
17,57500000,4,5,3.0,1,6,2076.0,493,20.0,4
17,30000000,0,3,3.0,1,0,,115,25.0,1
20,100000,3,3,3.0,3,0,2001.0,223,20.0,1
17,15500000,0,0,,0,0,,185,18.0,1
17,7500000,0,0,,0,0,,137,20.0,1
17,60000000,0,0,2.0,3,0,,135,15.0,1
17,1200000,0,0,,0,2,,2600,20.0,2
17,2700000,0,0,,0,2,,1400,12.0,1
17,35000000,7,3,2.5,2,7,2076.0,1500,12.0,4
17,3600000,0,0,,0,0,,1200,16.0,1
17,25000000,6,4,4.0,2,0,2000.0,479,20.0,4
17,15500000,0,0,2.0,0,1,2015.0,601,13.0,1
17,9500000,0,0,,0,0,,123,40.0,1
17,75000000,0,0,5.0,0,0,,215,12.0,1
17,3500000,0,0,,0,0,,201,25.0,1
17,7500000,0,0,,0,0,,192,15.0,1
17,75000000,0,0,3.0,0,0,,150,16.0,3
17,4500000,0,0,,0,0,,94,16.0,1
17,3700000,0,0,,0,0,,131,16.0,3
17,39500000,0,0,4.0,3,0,,228,18.0,1
27,70000,0,2,,0,0,,173,0.0,6
17,18000,1,1,1.0,4,0,,444,20.0,6
17,5000000,0,0,,0,0,,105,16.0,3
17,37000000,5,6,3.0,2,4,2076.0,492,20.0,1
27,40000,0,0,3.0,0,0,,292,0.0,6
20,25600000,0,0,4.0,1,0,2013.0,101,10.0,3
20,78000,4,4,,1,0,,176,0.0,6
7,1600000,0,0,,0,5,,1700,30.0,1
17,36500000,5,4,2.0,2,0,2020.0,350,20.0,1
17,102500000,5,0,2.0,0,0,,266,20.0,1
4,899999,0,0,,0,0,,129,0.0,1
17,22500000,5,3,3.0,1,0,2020.0,238,14.0,1
17,23500000,5,3,3.0,2,0,2020.0,175,15.0,1
17,22500000,4,3,3.0,1,0,2076.0,271,15.0,3
17,32500000,5,4,3.0,1,0,2020.0,204,15.0,3
17,42500000,5,0,3.0,4,0,,210,15.0,1
17,11000000,10,3,2.0,0,0,2072.0,538,3.0,6
17,42500000,5,3,2.0,1,0,,147,12.0,4
17,35000000,5,4,2.0,2,0,2020.0,280,18.0,3
17,2200000,0,0,,0,0,,194,20.0,1
17,2400000,0,0,,0,0,,107,16.0,1
17,2400000,0,0,,0,5,,422,12.0,3
17,6000000,0,0,0.0,0,0,,351,13.0,3
17,2700000,0,0,,0,7,,368,13.0,1
17,2300000,0,0,,0,0,,415,20.0,1
17,37000000,5,5,3.0,1,4,2076.0,1200,20.0,1
17,45000000,6,6,3.0,3,0,2076.0,198,20.0,1
26,550000,0,0,,0,4,,164,6.0,6
20,39000000,2,1,1.0,2,0,,362,0.0,6
17,17000000,5,3,3.0,1,0,,764,12.0,4
17,100000,5,4,,2,0,,289,0.0,6
20,75000,3,3,,1,0,,644,0.0,6
17,16500000,6,3,2.5,1,5,2076.0,5700,10.0,3
17,20500000,4,4,2.5,1,0,2076.0,7800,13.0,1
20,25000000,7,6,3.0,3,2,2020.0,304,13.0,1
3,12500000,0,0,2.0,0,0,,1900,16.0,6
20,21000000,4,5,1.0,1,6,2019.0,621,20.0,3
17,60000,0,4,3.0,1,0,2015.0,276,98.4252,1
3,3500000,0,0,,0,0,,393,1640.42,6
3,600000,0,0,,0,0,,747,300.0,6
20,420000,0,0,,0,0,,305,500.0,6
20,2000000,0,0,,0,0,,191,1640.42,6
20,50000,2,1,,1,6,,220,10.0,6
17,175000,0,0,2.0,6,4,,267,14.0,6
17,160000,6,5,3.0,8,4,,167,20.0,6
17,2500000,0,0,,0,7,,1400,12.0,3
17,6000000,0,0,,0,0,,118,984.252,6
